BTC_Date,BTC_Close,VIX_Date
2016-07-05,670.6270141601562,2016-06-24
2016-07-06,677.3309936523438,2016-06-24
2016-07-07,640.56201171875,2016-06-24
2016-07-08,666.5230102539062,2016-06-24
2016-07-09,650.9600219726562,2016-06-24
2016-07-10,649.3599853515625,2016-06-24
2016-07-11,647.6589965820312,2016-06-24
2016-07-12,664.551025390625,2016-06-24
2016-07-13,654.468017578125,2016-06-24
2016-07-14,658.0780029296875,2016-06-24
2016-07-15,663.2550048828125,2016-06-24
2016-07-16,660.7670288085938,2016-06-24
2016-07-17,679.458984375,2016-06-24
2016-07-18,673.1060180664062,2016-06-24
2016-07-19,672.864013671875,2016-06-24
2016-07-20,665.6849975585938,2016-06-24
2016-07-21,665.0120239257812,2016-06-24
2016-07-22,650.6190185546875,2016-06-24
2016-07-23,655.5560302734375,2016-06-24
2016-07-24,661.2849731445312,2016-06-24
2018-02-06,7754.0,2018-02-05
2018-02-07,7621.2998046875,2018-02-05
2018-02-08,8265.58984375,2018-02-05
2018-02-09,8736.98046875,2018-02-05
2018-02-10,8621.900390625,2018-02-05
2018-02-11,8129.97021484375,2018-02-05
2018-02-12,8926.5703125,2018-02-05
2018-02-13,8598.3095703125,2018-02-05
2018-02-14,9494.6298828125,2018-02-05
2018-02-15,10166.400390625,2018-02-05
2018-02-16,10233.900390625,2018-02-05
2018-02-17,11112.7001953125,2018-02-05
2018-02-18,10551.7998046875,2018-02-05
2018-02-19,11225.2998046875,2018-02-05
2018-02-20,11403.7001953125,2018-02-05
2018-02-21,10690.400390625,2018-02-05
2018-02-22,10005.0,2018-02-05
2018-02-23,10301.099609375,2018-02-05
2018-02-24,9813.0703125,2018-02-05
2018-02-25,9664.73046875,2018-02-05
2018-02-26,10366.7001953125,2018-02-05
2018-02-27,10725.599609375,2018-02-05
2018-02-28,10397.900390625,2018-02-05
2018-03-01,10951.0,2018-02-05
2018-03-02,11086.400390625,2018-02-05
2018-03-03,11489.7001953125,2018-02-05
2018-03-04,11512.599609375,2018-02-05
2018-03-05,11573.2998046875,2018-02-05
2018-03-06,10779.900390625,2018-02-05
2018-03-07,9965.5703125,2018-02-05
2018-10-25,6476.2900390625,2018-10-24
2018-10-26,6474.75,2018-10-24
2018-10-27,6480.3798828125,2018-10-24
2018-10-28,6486.39013671875,2018-10-24
2018-10-29,6332.6298828125,2018-10-24
2018-10-30,6334.27001953125,2018-10-24
2018-10-31,6317.60986328125,2018-10-24
2018-11-01,6377.77978515625,2018-10-24
2018-11-02,6388.43994140625,2018-10-24
2018-11-03,6361.259765625,2018-10-24
2018-11-04,6376.1298828125,2018-10-24
2018-11-05,6419.66015625,2018-10-24
2018-11-06,6461.009765625,2018-10-24
2018-11-07,6530.14013671875,2018-10-24
2018-11-08,6453.72021484375,2018-10-24
2018-11-09,6385.6201171875,2018-10-24
2018-11-10,6409.22021484375,2018-10-24
2018-11-11,6411.27001953125,2018-10-24
2018-11-12,6371.27001953125,2018-10-24
2018-11-13,6359.490234375,2018-10-24
2018-11-14,5738.35009765625,2018-10-24
2018-11-15,5648.02978515625,2018-10-24
2018-11-16,5575.5498046875,2018-10-24
2018-11-17,5554.330078125,2018-10-24
2018-11-18,5623.5400390625,2018-10-24
2018-11-19,4871.490234375,2018-10-24
2018-11-20,4451.8701171875,2018-10-24
2018-11-21,4602.169921875,2018-10-24
2018-11-22,4365.93994140625,2018-10-24
2018-11-23,4347.10986328125,2018-10-24
2018-12-19,3745.95068359375,2018-12-18
2018-12-20,4134.44140625,2018-12-18
2018-12-21,3896.543701171875,2018-12-18
2018-12-22,4014.1826171875,2018-12-18
2018-12-23,3998.980224609375,2018-12-18
2018-12-24,4078.59912109375,2018-12-18
2018-12-25,3815.49072265625,2018-12-18
2018-12-26,3857.297607421875,2018-12-18
2018-12-27,3654.83349609375,2018-12-18
2018-12-28,3923.918701171875,2018-12-18
2018-12-29,3820.40869140625,2018-12-18
2018-12-30,3865.95263671875,2018-12-18
2018-12-31,3742.700439453125,2018-12-18
2019-01-01,3843.52001953125,2018-12-18
2019-01-02,3943.409423828125,2018-12-18
2019-01-03,3836.7412109375,2018-12-18
2019-01-04,3857.717529296875,2018-12-18
2019-01-05,3845.194580078125,2018-12-18
2019-01-06,4076.632568359375,2018-12-18
2019-01-07,4025.248291015625,2018-12-18
2019-01-08,4030.847900390625,2018-12-18
2019-01-09,4035.29638671875,2018-12-18
2019-01-10,3678.924560546875,2018-12-18
2019-01-11,3687.365478515625,2018-12-18
2019-01-12,3661.301025390625,2018-12-18
2019-01-13,3552.953125,2018-12-18
2019-01-14,3706.05224609375,2018-12-18
2019-01-15,3630.67529296875,2018-12-18
2019-01-16,3655.0068359375,2018-12-18
2019-01-17,3678.56396484375,2018-12-18
2019-01-04,3857.717529296875,2019-01-03
2019-01-05,3845.194580078125,2019-01-03
2019-01-06,4076.632568359375,2019-01-03
2019-01-07,4025.248291015625,2019-01-03
2019-01-08,4030.847900390625,2019-01-03
2019-01-09,4035.29638671875,2019-01-03
2019-01-10,3678.924560546875,2019-01-03
2019-01-11,3687.365478515625,2019-01-03
2019-01-12,3661.301025390625,2019-01-03
2019-01-13,3552.953125,2019-01-03
2019-01-14,3706.05224609375,2019-01-03
2019-01-15,3630.67529296875,2019-01-03
2019-01-16,3655.0068359375,2019-01-03
2019-01-17,3678.56396484375,2019-01-03
2019-01-18,3657.83935546875,2019-01-03
2019-01-19,3728.568359375,2019-01-03
2019-01-20,3601.013671875,2019-01-03
